1nz,N,Z,A,EL,MASSEXCESS,AtomicMass,BE,BE_uncer
4,29,25,54,Mn,-55557.629,53.940356429,8101.893,0.006
-2,26,28,54,Ni,-39278.308,53.957833,8623.061,0.02
8,31,23,54,V ,-49893.173,53.946437472,8695.946,0.012
14,34,20,54,Ca,-25160.585,53.972989,8400.206,0.007
10,32,22,54,Ti,-45621.981,53.951022786,8401.336,0.007
12,33,21,54,Sc,-33890.9,53.96361662,8685.999,0.012
5,30,25,55,Mn,-57712.413,54.938043172,4717.155,0.125
3,29,26,55,Fe,-57481.3,54.938291283,6170.109,0.083
7,31,24,55,Cr,-55109.71,54.940837289,6496.419,0.077
1,28,27,55,Co,-54029.883,54.941996531,8135.499,0.006
-1,27,28,55,Ni,-45335.849,54.951329961,8146.964,0.006
9,32,23,55,V ,-49144.586,54.947241114,8608.577,0.011
-3,26,29,55,Cu,-31635.399,54.966038,8677.653,0.013
11,33,22,55,Ti,-41668.088,54.955267465,8488.973,0.009
13,34,21,55,Sc,-30159.352,54.967622601,8467.421,0.008
4,30,26,56,Fe,-60607.082,55.934935617,8687.594,0.013
6,31,25,56,Mn,-56911.538,55.938902947,8483.359,0.011
0,28,28,56,Ni,-53907.539,55.942127872,8511.312,0.014
2,29,27,56,Co,-56040.402,55.93983815,8445.55,0.008
8,32,24,56,Cr,-55285.001,55.940649107,8405.587,0.008
-2,27,29,56,Cu,-38643.029,55.958515,8409.375,0.008
12,34,22,56,Ti,-39320.048,55.95778819,8737.965,0.02
10,33,23,56,V ,-46154.881,55.950450694,8443.298,0.008
14,35,21,56,Sc,-24852.26,55.97332,8663.394,0.019
5,31,26,57,Fe,-60181.839,56.935392134,8682.82,0.013
-1,28,29,57,Cu,-47308.886,56.949211819,8646.865,0.015
3,30,27,57,Co,-59345.564,56.936289913,8513.806,0.033
1,29,28,57,Ni,-56083.833,56.939791525,8669.361,0.017
9,33,24,57,Cr,-52524.702,56.943612409,8539.048,0.01
7,32,25,57,Mn,-57486.251,56.938285968,7546.439,0.005
11,34,23,57,V ,-44413.45,56.952320197,7556.042,0.005
13,35,22,57,Ti,-33915.633,56.963590068,8579.992,0.01
15,36,21,57,Sc,-20995.875,56.97746,7523.952,0.005
6,32,26,58,Fe,-62155.113,57.933273738,8567.023,0.01
2,30,28,58,Ni,-60228.744,57.93534178,7560.318,0.005
0,29,29,58,Cu,-51667.725,57.944532413,7586.484,0.005
4,31,27,58,Co,-59847.158,57.935751429,7298.496,0.056
10,34,24,58,Cr,-51991.801,57.944184502,7543.278,0.005
8,33,25,58,Mn,-55827.56,57.940066646,8544.882,0.01
-2,28,30,58,Zn,-42298.744,57.954590428,7590.914,0.005
12,35,23,58,V ,-40401.753,57.956626932,8311.404,0.024
7,33,26,59,Fe,-60664.805,58.934873649,8412.419,0.024
3,31,28,59,Ni,-61156.707,58.934345571,7534.991,0.005
5,32,27,59,Co,-62229.709,58.933193656,7921.377,0.006
1,30,29,59,Cu,-56358.327,58.939496844,7574.989,0.005
-1,29,30,59,Zn,-47215.551,58.949312017,8550.019,0.01
9,34,25,59,Mn,-55525.32,58.940391113,8674.844,0.013
13,36,23,59,V ,-37832.015,58.959385659,7600.715,0.005
11,35,24,59,Cr,-48085.76,58.94837781,7566.221,0.005
4,32,28,60,Ni,-64473.118,59.930785256,8570.65,0.011
6,33,27,60,Co,-61650.309,59.933815667,7568.36,0.005
0,30,30,60,Zn,-54174.34,59.94184145,7534.503,0.005
2,31,29,60,Cu,-58345.137,59.937363916,7874.331,0.006
10,35,25,60,Mn,-52967.938,59.943136576,7875.362,0.006
8,34,26,60,Fe,-61413.017,59.934070411,7834.346,0.005
12,36,24,60,Cr,-46669.576,59.949898146,7879.932,0.006
14,37,23,60,V ,-33241.956,59.96431329,7869.866,0.006
5,33,28,61,Ni,-64221.905,60.931054945,7867.453,0.006
7,34,27,61,Co,-62898.066,60.932476145,7515.767,0.005
3,32,29,61,Cu,-61984.059,60.933457371,7810.243,0.005
11,36,25,61,Mn,-51742.122,60.944452544,7880.023,0.006
